Edad,Salario,Experiencia,Correo electrónico
,Not disclosed,-1,user1@example.com
18,92756,12,user2@example.com
21,111757,9,user3@example.com
21,114355,11,user4@example.com
57,78682,12,user5@example.com
27,96509,6,user6@example.com
37,116384,16,user7@example.com
39,105751,9,user8@example.com
54,106693,3,user9@example.com
41,54777,15,user10@example.com
24,43824,4,user11@example.com
42,32418,4,user12@example.com
42,42843,8,user13@example.com
30,108778,10,user14@example.com
19,66223,10,user15@example.com
56,91570,10,user16@example.com
57,36521,4,user17@example.com
41,118162,15,user18@example.com
64,86894,19,user19@example.com
42,104659,13,user20@example.com
,Not disclosed,-1,user21@example.com
55,81939,10,user22@example.com
43,119236,11,user23@example.com
31,67073,14,user24@example.com
26,53310,8,user25@example.com
27,61785,8,user26@example.com
38,94570,2,user27@example.com
34,110577,13,user28@example.com
23,86356,3,user29@example.com
33,53306,3,user30@example.com
18,66950,2,user31@example.com
36,108696,6,user32@example.com
53,108928,9,user33@example.com
42,109904,5,user34@example.com
47,100838,1,user35@example.com
37,63920,12,user36@example.com
37,118870,3,user37@example.com
32,109128,6,user38@example.com
57,63538,17,user39@example.com
50,111411,9,user40@example.com
,Not disclosed,-1,user41@example.com
27,48728,18,user42@example.com
50,43640,17,user43@example.com
49,98627,4,user44@example.com
28,75663,9,user45@example.com
41,33912,5,user46@example.com
53,80586,17,user47@example.com
29,102130,4,user48@example.com
46,51752,8,user49@example.com
52,89715,4,user50@example.com
18,119068,19,user51@example.com
18,37997,18,user52@example.com
54,83006,2,user53@example.com
23,70800,19,user54@example.com
56,45620,18,user55@example.com
58,100381,3,user56@example.com
35,84268,6,user57@example.com
33,99069,6,user58@example.com
22,98473,13,user59@example.com
59,72512,13,user60@example.com
,Not disclosed,-1,user61@example.com
49,100557,16,user62@example.com
19,47340,8,user63@example.com
19,31913,8,user64@example.com
57,82086,12,user65@example.com
59,43429,18,user66@example.com
53,43907,7,user67@example.com
56,65489,8,user68@example.com
29,40088,19,user69@example.com
64,45588,12,user70@example.com
36,68395,18,user71@example.com
45,90155,10,user72@example.com
18,68214,15,user73@example.com
32,30469,10,user74@example.com
53,73295,19,user75@example.com
30,104253,1,user76@example.com
60,64488,10,user77@example.com
38,68040,12,user78@example.com
29,46975,18,user79@example.com
22,45912,10,user80@example.com
,Not disclosed,-1,user81@example.com
22,112127,17,user82@example.com
21,45115,11,user83@example.com
30,109983,5,user84@example.com
54,82573,4,user85@example.com
58,94223,9,user86@example.com
32,41052,15,user87@example.com
33,45741,1,user88@example.com
38,87368,9,user89@example.com
53,73986,8,user90@example.com
41,35103,14,user91@example.com
33,65050,18,user92@example.com
31,31740,1,user93@example.com
39,85270,12,user94@example.com
23,42579,5,user95@example.com
59,101382,1,user96@example.com
53,77805,11,user97@example.com
18,50165,15,user98@example.com
49,32775,19,user99@example.com
23,114523,5,user100@example.com
,Not disclosed,-1,user81@example.com
54,82573,4,user85@example.com
42,109904,5,user34@example.com
22,112127,17,user82@example.com
39,85270,12,user94@example.com
